"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-01-15","90.99","89.26","90.99","89.07","","2.00%"
"2023-01-08","89.21","90.82","91.85","88.64","","-1.75%"
"2023-01-01","90.80","89.35","91.01","87.40","","1.65%"
"2022-12-25","89.33","89.21","91.08","88.48","","0.15%"
"2022-12-18","89.20","90.95","92.11","87.01","","-2.36%"
"2022-12-11","91.36","92.92","93.97","91.21","","-1.54%"
"2022-12-04","92.79","91.36","92.95","90.83","","1.77%"
"2022-11-27","91.18","93.68","93.92","90.81","","-2.88%"
"2022-11-20","93.88","93.71","94.17","93.11","","0.27%"
"2022-11-13","93.63","93.04","94.69","92.69","","0.66%"
"2022-11-06","93.02","94.10","95.24","92.61","","-1.87%"
"2022-10-30","94.79","94.50","95.58","92.95","","0.28%"
"2022-10-23","94.53","94.17","95.49","92.99","","0.40%"
"2022-10-16","94.15","92.14","95.78","92.06","","2.16%"
"2022-10-09","92.16","92.68","93.58","90.82","","-0.42%"
"2022-10-02","92.55","92.79","94.73","92.40","","-0.13%"
"2022-09-25","92.67","93.61","94.24","92.11","","-0.93%"
"2022-09-18","93.54","95.91","96.60","93.37","","-2.60%"
"2022-09-11","96.04","97.60","98.46","95.54","","-1.50%"
"2022-09-04","97.50","95.47","97.93","94.92","","2.15%"
"2022-08-28","95.45","94.86","96.22","94.61","","0.74%"
"2022-08-21","94.75","94.07","95.82","93.96","","0.69%"
"2022-08-14","94.10","95.01","95.13","93.06","","-1.00%"
"2022-08-07","95.05","93.31","95.18","93.18","","1.93%"
"2022-07-31","93.25","93.01","93.83","90.51","","0.24%"
"2022-07-24","93.03","94.34","95.71","92.86","","-1.25%"
"2022-07-17","94.21","94.04","95.78","93.90","","0.13%"
"2022-07-10","94.09","93.36","94.29","91.94","","0.84%"
"2022-07-03","93.31","92.11","94.01","91.52","","1.29%"
"2022-06-26","92.12","93.84","94.74","91.40","","-1.92%"
"2022-06-19","93.92","93.64","95.33","92.63","","0.37%"
"2022-06-12","93.57","94.64","94.99","91.96","","-1.28%"
"2022-06-05","94.78","94.35","96.90","93.76","","0.52%"
"2022-05-29","94.29","90.97","94.58","90.85","","3.60%"
"2022-05-22","91.01","90.19","91.06","89.22","","1.21%"
"2022-05-15","89.92","89.71","91.20","88.46","","0.31%"
"2022-05-08","89.64","92.42","92.51","87.28","","-2.99%"
"2022-05-01","92.40","91.83","94.04","91.49","","0.76%"
"2022-04-24","91.70","93.46","93.54","90.46","","-1.45%"
"2022-04-17","93.05","93.50","95.77","92.98","","-0.44%"
"2022-04-10","93.46","92.55","93.90","92.21","","0.84%"
"2022-04-03","92.68","91.79","94.20","91.57","","0.89%"
"2022-03-27","91.86","91.71","94.33","90.75","","0.20%"
"2022-03-20","91.68","88.21","92.03","87.82","","3.78%"
"2022-03-13","88.34","85.51","88.40","84.58","","3.32%"
"2022-03-06","85.50","84.61","85.90","83.79","","1.08%"
"2022-02-27","84.59","83.04","85.17","82.36","","1.22%"
"2022-02-20","83.57","82.47","83.86","82.00","","1.31%"
"2022-02-13","82.49","82.33","83.36","81.53","","0.17%"
"2022-02-06","82.35","81.54","84.01","81.40","","1.02%"
"2022-01-30","81.52","80.68","82.31","80.50","","1.25%"
"2022-01-23","80.51","81.59","82.17","80.36","","-1.41%"
"2022-01-16","81.66","82.31","83.00","81.48","","-0.77%"
"2022-01-09","82.29","82.86","83.77","82.07","","-0.78%"
"2022-01-02","82.94","83.57","84.32","82.61","","-0.73%"
"2021-12-26","83.55","82.64","83.78","82.55","","1.10%"
"2021-12-19","82.64","81.12","83.00","80.26","","2.05%"
"2021-12-12","80.98","81.00","82.46","80.48","","-0.39%"
"2021-12-05","81.30","78.92","81.74","78.90","","2.95%"
"2021-11-28","78.97","80.65","81.50","78.78","","-2.14%"
"2021-11-21","80.70","82.47","83.26","80.46","","-2.12%"
"2021-11-14","82.45","83.51","84.18","82.14","","-1.22%"
"2021-11-07","83.47","83.96","84.19","82.98","","-0.55%"
"2021-10-31","83.93","85.62","86.08","83.81","","-2.11%"
"2021-10-24","85.74","84.75","86.07","84.68","","1.24%"
"2021-10-17","84.69","84.77","86.27","84.26","","-0.12%"
"2021-10-10","84.79","82.09","84.95","81.84","","3.42%"
"2021-10-03","81.99","80.64","82.10","80.46","","1.75%"
"2021-09-26","80.58","80.38","81.33","79.89","","0.25%"
"2021-09-19","80.38","79.94","80.78","78.82","","0.61%"
"2021-09-12","79.89","80.90","81.17","79.74","","-1.19%"
"2021-09-05","80.85","81.86","82.01","80.74","","-1.21%"
"2021-08-29","81.84","80.31","82.14","79.97","","1.93%"
"2021-08-22","80.29","78.25","80.37","78.05","","2.50%"
"2021-08-15","78.33","80.75","80.90","77.89","","-2.98%"
"2021-08-08","80.74","81.07","81.61","80.69","","-0.41%"
"2021-08-01","81.07","80.54","81.41","80.14","","0.63%"
"2021-07-25","80.56","81.46","81.54","80.44","","-1.06%"
"2021-07-18","81.42","81.49","81.71","79.81","","-0.02%"
"2021-07-11","81.44","82.41","82.83","81.34","","-1.21%"
"2021-07-04","82.44","83.55","84.22","81.31","","-1.32%"
"2021-06-27","83.54","84.03","84.27","82.80","","-0.58%"
"2021-06-20","84.03","82.40","84.28","82.12","","1.99%"
"2021-06-13","82.39","84.43","84.96","82.40","","-2.50%"
"2021-06-06","84.50","84.78","85.07","84.38","","-0.25%"
"2021-05-30","84.71","84.72","85.21","84.29","","-0.05%"
"2021-05-23","84.75","84.36","85.18","83.96","","0.62%"
"2021-05-16","84.23","85.05","85.20","84.04","","-0.88%"
"2021-05-09","84.98","85.21","85.82","84.29","","-0.21%"
"2021-05-02","85.16","84.33","85.33","83.93","","1.01%"
"2021-04-25","84.31","83.58","85.03","83.46","","0.87%"
"2021-04-18","83.58","84.23","84.76","83.08","","-0.63%"
"2021-04-11","84.11","83.61","84.43","83.03","","0.66%"
"2021-04-04","83.56","84.19","84.49","83.03","","-0.74%"
"2021-03-28","84.18","83.75","84.50","83.32","","0.56%"
"2021-03-21","83.71","84.17","84.39","82.28","","-0.69%"
"2021-03-14","84.29","84.55","85.48","84.09","","-0.41%"
"2021-03-07","84.64","83.28","84.80","82.92","","1.65%"
"2021-02-28","83.27","82.19","84.06","82.04","","1.40%"
"2021-02-21","82.12","82.87","84.96","81.99","","-1.01%"
"2021-02-14","82.96","81.40","83.18","81.32","","1.98%"
"2021-02-07","81.35","80.92","81.50","80.61","","0.58%"
"2021-01-31","80.88","80.03","80.95","79.53","","1.10%"
"2021-01-24","80.00","80.10","80.66","79.19","","-0.09%"
"2021-01-17","80.07","80.06","80.54","79.50","","0.09%"
"2021-01-10","80.00","80.62","80.93","79.71","","-0.79%"
"2021-01-03","80.64","79.50","80.94","78.83","","1.42%"
"2020-12-27","79.51","78.49","79.81","78.47","","1.12%"
"2020-12-20","78.63","78.49","78.87","77.48","","-0.17%"
"2020-12-13","78.76","78.42","78.85","78.11","","0.52%"
"2020-12-06","78.35","77.42","78.81","76.89","","1.38%"
"2020-11-29","77.28","76.93","77.58","76.56","","0.51%"
"2020-11-22","76.89","75.89","77.07","75.67","","1.40%"
"2020-11-15","75.83","75.99","76.79","75.39","","-0.28%"
"2020-11-08","76.04","74.97","77.12","74.97","","1.43%"
"2020-11-01","74.97","73.61","75.49","73.18","","1.97%"
"2020-10-25","73.52","74.67","74.96","73.12","","-1.58%"
"2020-10-18","74.70","74.72","74.96","74.17","","0.11%"
"2020-10-11","74.62","76.35","76.54","74.25","","-2.38%"
"2020-10-04","76.44","75.31","76.54","74.94","","1.34%"
"2020-09-27","75.43","74.23","76.07","73.95","","1.64%"
"2020-09-20","74.21","76.18","76.43","73.96","","-2.62%"
"2020-09-13","76.21","77.31","77.53","75.96","","-1.44%"
"2020-09-06","77.32","77.37","77.76","76.11","","-0.04%"
"2020-08-30","77.35","77.51","78.47","76.76","","-0.31%"
"2020-08-23","77.59","75.77","77.97","75.61","","2.43%"
"2020-08-16","75.75","76.38","76.70","75.61","","-0.90%"
"2020-08-09","76.44","75.89","76.74","75.68","","0.84%"
"2020-08-02","75.80","75.67","76.46","75.10","","0.26%"
"2020-07-26","75.60","75.26","75.95","74.81","","0.31%"
"2020-07-19","75.37","74.86","76.89","74.70","","0.71%"
"2020-07-12","74.84","74.38","75.30","74.18","","0.77%"
"2020-07-05","74.27","74.61","75.18","73.97","","-0.40%"
"2020-06-28","74.57","73.57","74.75","73.31","","1.39%"
"2020-06-21","73.55","73.18","74.44","72.67","","0.74%"
"2020-06-14","73.01","73.42","75.11","72.64","","-0.88%"
"2020-06-07","73.66","76.39","76.81","72.51","","-3.54%"
"2020-05-31","76.36","71.75","76.76","71.55","","6.26%"
"2020-05-24","71.86","70.15","71.94","70.14","","2.19%"
"2020-05-17","70.32","68.77","71.11","68.63","","2.45%"
"2020-05-10","68.64","69.64","70.19","68.54","","-1.42%"
"2020-05-03","69.63","68.68","69.74","67.62","","1.50%"
"2020-04-26","68.60","68.69","70.18","68.49","","-0.06%"
"2020-04-19","68.64","68.35","69.02","67.28","","0.37%"
"2020-04-12","68.39","68.82","69.28","67.57","","-0.61%"
"2020-04-05","68.81","65.21","69.06","64.96","","5.83%"
"2020-03-29","65.02","66.39","67.28","64.39","","-2.24%"
"2020-03-22","66.51","64.23","67.71","62.92","","3.53%"
"2020-03-15","64.24","66.21","67.36","59.87","","-3.70%"
"2020-03-08","66.71","69.72","69.74","64.49","","-4.75%"
"2020-03-01","70.04","70.13","71.53","69.14","","-0.43%"
"2020-02-23","70.34","73.97","74.05","69.36","","-4.87%"
"2020-02-16","73.94","73.68","74.49","73.18","","0.37%"
"2020-02-09","73.67","73.32","74.31","73.01","","0.63%"
"2020-02-02","73.21","72.53","74.40","72.40","","0.95%"
"2020-01-26","72.52","74.49","74.55","72.43","","-2.80%"
"2020-01-19","74.61","75.81","75.92","74.42","","-1.43%"
"2020-01-12","75.69","75.49","76.26","75.35","","0.20%"
"2020-01-05","75.54","75.11","75.71","73.75","","0.63%"
"2019-12-29","75.07","76.39","76.53","74.83","","-1.66%"
"2019-12-22","76.34","75.45","76.54","75.41","","1.13%"
"2019-12-15","75.49","75.33","75.64","74.83","","0.40%"
"2019-12-08","75.19","74.20","76.00","73.81","","1.27%"
"2019-12-01","74.25","74.12","74.86","73.88","","0.24%"
"2019-11-24","74.07","73.79","74.31","73.71","","0.47%"
"2019-11-17","73.72","74.18","74.33","73.47","","-0.58%"
"2019-11-10","74.15","75.00","75.03","73.35","","-1.05%"
"2019-11-03","74.94","74.75","75.69","74.54","","0.21%"
"2019-10-27","74.78","74.14","75.31","74.06","","0.90%"
"2019-10-20","74.11","74.36","74.83","73.92","","-0.28%"
"2019-10-13","74.32","73.56","74.41","72.99","","1.02%"
"2019-10-06","73.57","72.39","73.97","71.83","","1.66%"
"2019-09-29","72.37","73.03","73.38","71.71","","-0.88%"
"2019-09-22","73.01","72.79","73.34","72.46","","0.30%"
"2019-09-15","72.79","74.37","74.39","72.68","","-2.06%"
"2019-09-08","74.32","73.13","74.51","73.00","","1.56%"
"2019-09-01","73.18","71.41","73.31","71.09","","2.21%"
"2019-08-25","71.60","70.97","72.08","69.96","","0.59%"
"2019-08-18","71.18","72.15","72.42","71.03","","-1.29%"
"2019-08-11","72.11","71.74","72.94","70.89","","0.60%"
"2019-08-04","71.68","72.46","72.72","70.74","","-1.08%"
"2019-07-28","72.46","75.19","75.25","72.22","","-3.46%"
"2019-07-21","75.06","75.87","76.18","75.00","","-1.03%"
"2019-07-14","75.84","75.71","76.16","75.46","","0.17%"
"2019-07-07","75.71","75.68","75.93","75.16","","0.03%"
"2019-06-30","75.69","75.83","76.29","75.12","","-0.05%"
"2019-06-23","75.73","74.40","75.82","74.32","","1.95%"
"2019-06-16","74.28","74.59","74.79","73.92","","-0.43%"
"2019-06-09","74.60","75.82","76.33","74.46","","-1.45%"
"2019-06-02","75.70","75.25","75.93","74.94","","0.79%"
"2019-05-26","75.11","75.66","76.18","75.07","","-0.73%"
"2019-05-19","75.66","76.10","76.43","75.38","","0.09%"
"2019-05-12","75.59","76.86","76.96","75.31","","-1.78%"
"2019-05-05","76.96","77.21","78.06","76.32","","-1.36%"
"2019-04-28","78.02","78.53","78.96","77.82","","-0.66%"
"2019-04-21","78.54","80.02","80.14","78.08","","-1.87%"
"2019-04-14","80.04","80.34","80.76","79.87","","-0.36%"
"2019-04-07","80.33","79.32","80.50","78.93","","1.20%"
"2019-03-31","79.38","78.86","79.66","78.48","","0.95%"
"2019-03-24","78.63","77.81","79.03","77.53","","1.01%"
"2019-03-17","77.84","78.94","79.43","77.77","","-1.44%"
"2019-03-10","78.98","78.27","79.26","77.89","","0.86%"
"2019-03-03","78.31","79.23","79.67","77.71","","-1.16%"
"2019-02-24","79.23","78.93","79.80","78.81","","0.44%"
"2019-02-17","78.88","78.89","79.83","78.32","","-0.03%"
"2019-02-10","78.90","77.77","79.26","77.71","","1.47%"
"2019-02-03","77.76","79.34","79.86","77.43","","-2.00%"
"2019-01-27","79.35","78.72","79.63","77.95","","0.89%"
"2019-01-20","78.65","78.64","78.90","77.50","","-0.01%"
"2019-01-13","78.66","78.22","79.13","77.55","","0.49%"
"2019-01-06","78.28","77.25","78.38","77.01","","1.36%"
"2018-12-30","77.23","77.75","78.07","71.68","","-0.52%"
"2018-12-23","77.63","78.29","78.76","77.49","","-0.72%"
"2018-12-16","78.19","81.46","81.52","78.19","","-3.88%"
"2018-12-09","81.35","81.10","82.24","80.69","","0.25%"
"2018-12-02","81.15","83.61","84.06","80.92","","-2.23%"
"2018-11-25","83.00","81.69","83.23","81.56","","1.59%"
"2018-11-18","81.70","82.66","82.74","81.17","","-1.26%"
"2018-11-11","82.74","82.23","82.92","81.37","","0.63%"
"2018-11-04","82.22","82.06","83.07","81.22","","0.93%"
"2018-10-28","81.46","79.32","81.96","79.10","","2.65%"
"2018-10-21","79.36","80.04","80.34","78.55","","-0.96%"
"2018-10-14","80.13","79.80","80.50","79.46","","0.35%"
"2018-10-07","79.85","80.21","80.61","79.06","","-0.40%"
"2018-09-30","80.17","82.22","82.50","79.99","","-2.43%"
