"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-01-15","138.71","138.45","139.63","138.20","","0.17%"
"2023-01-08","138.47","140.45","142.88","137.99","","-1.50%"
"2023-01-01","140.58","140.35","141.47","137.38","","0.19%"
"2022-12-25","140.31","140.92","142.96","139.96","","-0.45%"
"2022-12-18","140.94","144.00","145.85","138.78","","-2.56%"
"2022-12-11","144.65","143.79","146.77","143.51","","0.59%"
"2022-12-04","143.80","141.82","144.65","141.32","","1.60%"
"2022-11-27","141.53","144.43","145.04","140.62","","-2.12%"
"2022-11-20","144.59","144.83","146.17","143.64","","-0.21%"
"2022-11-13","144.90","143.45","145.57","143.34","","0.85%"
"2022-11-06","143.68","145.29","147.15","142.65","","-1.59%"
"2022-10-30","146.00","146.68","147.79","144.02","","-0.61%"
"2022-10-23","146.90","145.70","147.74","143.80","","0.91%"
"2022-10-16","145.57","144.30","148.43","144.15","","0.70%"
"2022-10-09","144.56","141.62","144.88","140.89","","2.11%"
"2022-10-02","141.57","141.66","144.11","141.18","","-0.19%"
"2022-09-25","141.84","138.98","142.31","137.57","","2.13%"
"2022-09-18","138.88","143.21","144.05","138.65","","-2.97%"
"2022-09-11","143.13","143.68","145.66","142.27","","0.03%"
"2022-09-04","143.08","139.51","144.74","138.67","","2.56%"
"2022-08-28","139.51","137.30","140.79","137.01","","1.85%"
"2022-08-21","136.98","137.37","138.01","135.50","","-0.31%"
"2022-08-14","137.40","137.01","137.99","134.93","","0.35%"
"2022-08-07","136.92","137.40","138.96","136.29","","-0.36%"
"2022-07-31","137.41","136.15","137.79","133.40","","0.97%"
"2022-07-24","136.09","138.95","140.09","135.52","","-2.03%"
"2022-07-17","138.91","139.73","142.35","138.76","","-0.59%"
"2022-07-10","139.74","138.46","139.90","137.00","","0.84%"
"2022-07-03","138.57","141.13","142.40","136.85","","-1.71%"
"2022-06-26","140.98","142.68","144.29","139.78","","-1.18%"
"2022-06-19","142.66","141.35","144.28","141.32","","0.69%"
"2022-06-12","141.68","141.34","141.99","137.84","","0.24%"
"2022-06-05","141.34","140.28","144.27","139.82","","0.77%"
"2022-05-29","140.26","136.49","140.39","136.24","","2.87%"
"2022-05-22","136.35","135.18","136.82","134.65","","0.99%"
"2022-05-15","135.01","134.44","136.72","133.74","","0.38%"
"2022-05-08","134.50","137.77","138.34","132.65","","-2.36%"
"2022-05-01","137.75","136.81","138.18","136.49","","0.66%"
"2022-04-24","136.85","139.40","139.40","134.76","","-1.38%"
"2022-04-17","138.77","136.54","140.04","136.42","","1.64%"
"2022-04-10","136.53","135.96","137.15","135.26","","0.98%"
"2022-04-03","135.21","135.24","135.71","134.28","","-0.13%"
"2022-03-27","135.39","133.96","137.55","133.95","","1.03%"
"2022-03-20","134.01","131.77","134.76","131.37","","1.78%"
"2022-03-13","131.67","128.02","131.94","127.99","","2.92%"
"2022-03-06","127.94","125.74","129.05","124.38","","2.02%"
"2022-02-27","125.41","129.20","129.82","125.06","","-3.68%"
"2022-02-20","130.20","130.13","130.91","127.90","","0.01%"
"2022-02-13","130.19","130.94","131.93","130.04","","-0.60%"
"2022-02-06","130.98","131.92","133.18","130.37","","-0.67%"
"2022-01-30","131.86","128.46","132.11","128.38","","2.69%"
"2022-01-23","128.41","128.91","129.27","128.24","","-0.39%"
"2022-01-16","128.91","130.38","131.20","128.54","","-1.10%"
"2022-01-09","130.35","131.20","131.49","129.77","","-0.69%"
"2022-01-02","131.25","130.86","131.63","130.02","","0.33%"
"2021-12-26","130.82","129.47","131.06","129.35","","1.03%"
"2021-12-19","129.48","127.72","129.79","127.50","","1.36%"
"2021-12-12","127.74","128.31","129.66","127.75","","-0.39%"
"2021-12-05","128.24","127.61","129.19","127.50","","0.49%"
"2021-11-28","127.61","128.30","128.82","127.37","","-0.48%"
"2021-11-21","128.22","128.65","129.63","127.79","","-0.34%"
"2021-11-14","128.66","130.45","130.63","127.96","","-1.30%"
"2021-11-07","130.36","131.21","131.46","130.24","","-0.61%"
"2021-10-31","131.16","131.79","132.60","130.82","","-0.49%"
"2021-10-24","131.80","132.33","132.94","131.55","","-0.26%"
"2021-10-17","132.15","132.51","133.50","131.90","","-0.24%"
"2021-10-10","132.47","129.95","132.81","129.76","","2.06%"
"2021-10-03","129.80","128.76","129.93","128.32","","0.82%"
"2021-09-26","128.75","129.82","130.49","128.54","","-0.72%"
"2021-09-19","129.69","128.97","129.87","127.92","","0.59%"
"2021-09-12","128.93","129.87","130.21","128.60","","-0.72%"
"2021-09-05","129.87","130.41","130.72","129.65","","-0.39%"
"2021-08-29","130.38","129.56","130.77","129.47","","0.67%"
"2021-08-22","129.51","128.40","129.79","128.31","","0.85%"
"2021-08-15","128.42","129.24","129.44","127.92","","-0.60%"
"2021-08-08","129.19","129.69","129.87","129.21","","-0.35%"
"2021-08-01","129.65","130.17","130.45","129.13","","-0.43%"
"2021-07-25","130.21","130.17","130.57","129.53","","0.08%"
"2021-07-18","130.11","130.00","130.32","128.58","","0.17%"
"2021-07-11","129.89","130.76","131.12","129.60","","-0.67%"
"2021-07-04","130.77","131.72","131.88","129.62","","-0.70%"
"2021-06-27","131.69","132.18","132.45","131.25","","-0.37%"
"2021-06-20","132.18","130.86","132.71","130.02","","1.14%"
"2021-06-13","130.69","132.82","133.71","130.60","","-1.54%"
"2021-06-06","132.74","133.24","133.77","132.65","","-0.34%"
"2021-05-30","133.19","133.91","134.15","133.13","","-0.57%"
"2021-05-23","133.95","132.67","134.08","132.50","","0.96%"
"2021-05-16","132.68","132.71","133.46","132.50","","-0.05%"
"2021-05-09","132.74","132.04","132.87","131.54","","0.49%"
"2021-05-02","132.09","131.34","132.21","130.98","","0.59%"
"2021-04-25","131.32","130.66","132.40","130.20","","0.58%"
"2021-04-18","130.56","130.35","131.01","129.58","","0.17%"
"2021-04-11","130.34","130.54","130.63","129.77","","-0.11%"
"2021-04-04","130.49","130.21","130.70","129.55","","0.24%"
"2021-03-28","130.18","129.31","130.35","128.82","","0.69%"
"2021-03-21","129.29","129.54","129.96","128.27","","-0.23%"
"2021-03-14","129.59","130.35","130.68","129.31","","-0.53%"
"2021-03-07","130.28","129.15","130.41","128.77","","0.91%"
"2021-02-28","129.11","128.73","129.66","128.16","","0.33%"
"2021-02-21","128.68","127.73","129.99","127.46","","0.73%"
"2021-02-14","127.75","127.25","128.47","127.19","","0.47%"
"2021-02-07","127.15","126.93","127.33","126.42","","0.22%"
"2021-01-31","126.87","127.07","127.24","126.09","","-0.13%"
"2021-01-24","127.04","126.31","127.36","125.57","","0.62%"
"2021-01-17","126.26","125.54","126.44","125.07","","0.65%"
"2021-01-10","125.45","126.99","127.11","125.39","","-1.20%"
"2021-01-03","126.98","126.24","127.51","126.04","","1.38%"
"2020-12-27","125.25","126.29","127.20","125.28","","-0.82%"
"2020-12-20","126.29","126.46","126.68","125.87","","-0.25%"
"2020-12-13","126.61","126.18","127.04","125.71","","0.51%"
"2020-12-06","125.97","126.29","126.76","125.77","","-0.20%"
"2020-11-29","126.22","124.43","126.71","124.26","","1.37%"
"2020-11-22","124.52","123.14","124.60","122.96","","1.16%"
"2020-11-15","123.09","123.76","124.47","122.83","","-0.57%"
"2020-11-08","123.79","122.78","125.17","122.68","","0.91%"
