"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-01-15","83.67","81.66","83.67","81.40","","2.47%"
"2023-01-08","81.65","83.79","84.71","81.11","","-2.61%"
"2023-01-01","83.84","83.26","84.01","81.03","","0.73%"
"2022-12-25","83.23","83.47","85.01","82.79","","-0.34%"
"2022-12-18","83.51","86.75","87.40","82.54","","-4.15%"
"2022-12-11","87.13","87.54","88.78","86.76","","-0.41%"
"2022-12-04","87.49","85.49","87.74","85.34","","1.66%"
"2022-11-27","86.06","86.89","87.17","85.28","","-0.91%"
"2022-11-20","86.85","86.62","87.50","86.02","","0.61%"
"2022-11-13","86.32","84.54","86.77","84.41","","1.96%"
"2022-11-06","84.66","86.18","87.25","83.87","","-2.47%"
"2022-10-30","86.80","85.89","87.17","85.14","","1.27%"
"2022-10-23","85.71","85.35","86.25","84.17","","1.00%"
"2022-10-16","84.86","82.75","86.51","82.46","","2.56%"
"2022-10-09","82.74","81.50","83.77","80.68","","1.47%"
"2022-10-02","81.54","80.97","84.03","80.82","","0.70%"
"2022-09-25","80.97","82.32","83.04","80.57","","-1.64%"
"2022-09-18","82.32","85.64","85.79","82.17","","-3.96%"
"2022-09-11","85.71","86.98","87.89","85.14","","-1.62%"
"2022-09-04","87.12","85.51","87.65","85.13","","1.91%"
"2022-08-28","85.49","84.65","86.06","84.22","","1.36%"
"2022-08-21","84.34","84.67","85.34","84.25","","-0.18%"
"2022-08-14","84.49","86.08","86.30","84.36","","-1.90%"
"2022-08-07","86.13","84.07","86.38","83.72","","2.50%"
"2022-07-31","84.03","83.81","84.79","82.11","","0.33%"
"2022-07-24","83.75","85.10","85.79","83.49","","-1.54%"
"2022-07-17","85.06","85.46","86.62","84.85","","-0.30%"
"2022-07-10","85.32","84.29","85.53","83.60","","1.26%"
"2022-07-03","84.26","83.74","84.90","83.00","","0.43%"
"2022-06-26","83.90","85.33","85.72","83.14","","-1.70%"
"2022-06-19","85.35","85.18","86.68","84.37","","0.18%"
"2022-06-12","85.20","85.35","85.73","82.96","","-0.50%"
"2022-06-05","85.63","85.20","86.83","84.76","","0.62%"
"2022-05-29","85.10","83.14","85.42","82.93","","2.47%"
"2022-05-22","83.05","81.93","83.15","81.26","","1.65%"
"2022-05-15","81.70","81.24","82.51","80.17","","0.67%"
"2022-05-08","81.16","83.69","83.85","79.44","","-2.99%"
"2022-05-01","83.66","84.03","84.83","83.36","","-0.19%"
"2022-04-24","83.82","85.41","85.56","83.32","","-1.88%"
"2022-04-17","85.43","85.74","87.37","85.05","","-0.09%"
"2022-04-10","85.51","85.07","86.68","84.82","","0.51%"
"2022-04-03","85.08","84.82","86.41","84.50","","0.26%"
"2022-03-27","84.86","84.75","86.97","84.24","","-0.16%"
"2022-03-20","85.00","82.14","85.26","81.90","","3.34%"
"2022-03-13","82.25","79.86","82.39","79.40","","3.03%"
"2022-03-06","79.83","78.78","80.17","78.45","","1.38%"
"2022-02-27","78.74","77.85","78.99","76.65","","1.18%"
"2022-02-20","77.82","77.11","78.41","76.48","","1.01%"
"2022-02-13","77.04","76.73","77.60","75.86","","0.43%"
"2022-02-06","76.71","76.29","78.03","75.93","","0.60%"
"2022-01-30","76.25","75.67","76.79","75.36","","1.26%"
"2022-01-23","75.30","76.50","76.69","75.22","","-1.43%"
"2022-01-16","76.39","77.64","78.15","76.23","","-1.58%"
"2022-01-09","77.62","78.24","78.86","77.46","","-0.92%"
"2022-01-02","78.34","78.54","79.28","77.90","","-0.24%"
"2021-12-26","78.53","77.97","78.96","77.78","","0.71%"
"2021-12-19","77.98","76.64","78.26","76.01","","1.83%"
"2021-12-12","76.58","77.12","78.00","76.43","","-0.62%"
"2021-12-05","77.06","76.29","77.58","76.09","","1.37%"
"2021-11-28","76.02","77.29","77.94","75.96","","-1.64%"
"2021-11-21","77.29","79.93","80.20","77.04","","-3.27%"
"2021-11-14","79.90","80.22","80.68","79.51","","-0.41%"
"2021-11-07","80.23","80.74","81.36","79.94","","-0.56%"
"2021-10-31","80.68","81.63","82.24","80.42","","-1.21%"
"2021-10-24","81.67","81.11","82.13","80.99","","0.63%"
"2021-10-17","81.16","80.69","82.53","80.53","","0.58%"
"2021-10-10","80.69","78.06","80.89","77.48","","3.63%"
"2021-10-03","77.86","77.11","77.92","76.64","","0.99%"
"2021-09-26","77.10","77.75","78.17","76.43","","-0.72%"
"2021-09-19","77.66","77.44","78.18","76.32","","0.32%"
"2021-09-12","77.41","78.22","78.64","77.25","","-1.00%"
"2021-09-05","78.19","78.52","78.68","77.79","","-0.48%"
"2021-08-29","78.57","76.99","78.67","76.70","","2.05%"
"2021-08-22","76.99","74.96","77.09","74.75","","2.74%"
"2021-08-15","74.94","77.18","77.31","74.56","","-2.80%"
"2021-08-08","77.10","77.29","77.95","76.88","","-0.21%"
"2021-08-01","77.26","76.63","77.73","76.04","","0.99%"
"2021-07-25","76.50","77.17","77.36","76.10","","-0.73%"
"2021-07-18","77.06","77.19","77.30","75.21","","0.04%"
"2021-07-11","77.03","77.06","77.68","76.43","","-0.01%"
"2021-07-04","77.04","78.07","78.79","75.96","","-1.26%"
"2021-06-27","78.02","78.35","78.55","77.07","","-0.41%"
"2021-06-20","78.34","76.54","78.50","76.21","","2.55%"
"2021-06-13","76.39","78.14","78.82","76.33","","-2.23%"
"2021-06-06","78.13","79.00","79.15","78.08","","-1.04%"
"2021-05-30","78.95","79.62","79.86","78.57","","-0.74%"
"2021-05-23","79.54","78.14","80.21","77.94","","1.83%"
"2021-05-16","78.11","78.95","79.32","77.91","","-1.53%"
"2021-05-09","79.32","79.07","79.44","78.21","","0.43%"
"2021-05-02","78.98","78.44","79.21","77.69","","0.95%"
"2021-04-25","78.24","77.51","79.18","77.44","","0.86%"
"2021-04-18","77.57","77.69","78.43","77.18","","-0.13%"
"2021-04-11","77.67","77.11","78.14","76.65","","0.78%"
"2021-04-04","77.07","77.85","77.99","76.69","","-0.95%"
"2021-03-28","77.81","76.63","77.96","76.31","","1.51%"
"2021-03-21","76.65","78.00","78.14","75.62","","-1.71%"
"2021-03-14","77.98","78.26","79.16","77.81","","-0.28%"
"2021-03-07","78.20","77.47","78.63","77.14","","0.83%"
"2021-02-28","77.56","77.11","78.23","77.04","","0.61%"
"2021-02-21","77.09","76.96","79.22","76.78","","0.10%"
"2021-02-14","77.01","75.75","77.24","75.59","","1.60%"
"2021-02-07","75.80","75.86","76.15","75.35","","-0.04%"
"2021-01-31","75.83","75.11","75.96","74.89","","0.76%"
"2021-01-24","75.26","74.59","75.66","74.11","","0.95%"
"2021-01-17","74.55","74.09","74.81","73.64","","0.55%"
"2021-01-10","74.14","75.26","75.31","73.88","","-1.50%"
"2021-01-03","75.27","74.27","75.60","73.79","","1.35%"
"2020-12-27","74.27","73.54","74.64","73.45","","0.76%"
"2020-12-20","73.71","73.79","73.89","72.71","","0.14%"
"2020-12-13","73.61","73.63","73.95","73.19","","0.10%"
"2020-12-06","73.54","73.30","74.03","73.07","","0.23%"
"2020-11-29","73.37","73.07","74.06","72.92","","0.36%"
"2020-11-22","73.11","71.87","73.29","71.71","","1.63%"
"2020-11-15","71.94","71.53","72.32","71.51","","0.47%"
"2020-11-08","71.60","70.11","72.81","69.97","","2.31%"
"2020-11-01","69.98","69.31","70.49","68.93","","1.08%"
"2020-10-25","69.23","70.12","70.30","68.86","","-1.18%"
"2020-10-18","70.06","69.78","70.18","69.24","","0.66%"
"2020-10-11","69.60","70.40","70.53","69.21","","-1.09%"
"2020-10-04","70.37","69.89","70.53","69.40","","0.69%"
"2020-09-27","69.89","69.11","70.29","68.89","","1.17%"
"2020-09-20","69.08","70.83","70.90","68.63","","-2.25%"
"2020-09-13","70.67","70.78","71.23","70.04","","-0.11%"
"2020-09-06","70.75","71.29","71.49","69.86","","-0.90%"
"2020-08-30","71.39","70.85","72.00","70.78","","0.52%"
"2020-08-23","71.02","69.18","71.28","69.03","","2.67%"
"2020-08-16","69.17","69.91","70.07","68.75","","-0.75%"
"2020-08-09","69.69","70.02","70.55","69.61","","-0.33%"
"2020-08-02","69.92","70.19","70.63","69.83","","-0.33%"
"2020-07-26","70.15","70.46","70.64","69.54","","-0.50%"
"2020-07-19","70.50","70.12","71.70","69.99","","0.51%"
"2020-07-12","70.14","70.31","70.72","69.81","","-0.26%"
"2020-07-05","70.32","70.25","70.74","69.96","","0.14%"
"2020-06-28","70.22","68.81","70.32","68.61","","1.98%"
