"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-01-15","128.62","127.83","131.57","127.24","","0.57%"
"2023-01-08","127.88","131.93","132.88","127.46","","-3.17%"
"2023-01-01","132.07","131.13","134.79","129.51","","0.73%"
"2022-12-25","131.11","132.79","134.50","130.77","","-1.27%"
"2022-12-18","132.79","136.05","137.48","130.57","","-2.85%"
"2022-12-11","136.69","136.60","138.18","134.59","","0.10%"
"2022-12-04","136.56","134.55","137.87","134.12","","1.68%"
"2022-11-27","134.30","139.34","139.91","133.62","","-3.45%"
"2022-11-20","139.10","140.29","142.27","138.05","","-0.89%"
"2022-11-13","140.35","138.54","140.80","137.68","","1.12%"
"2022-11-06","138.79","147.15","147.59","138.46","","-5.32%"
"2022-10-30","146.59","147.76","148.86","145.68","","-0.58%"
"2022-10-23","147.45","147.57","149.70","145.11","","-0.13%"
"2022-10-16","147.64","148.45","151.96","146.21","","-0.74%"
"2022-10-09","148.74","145.35","148.88","145.23","","2.35%"
"2022-10-02","145.33","144.61","145.46","143.52","","0.40%"
"2022-09-25","144.75","143.40","144.92","143.27","","1.00%"
"2022-09-18","143.32","142.96","145.91","140.35","","0.29%"
"2022-09-11","142.91","142.25","144.96","141.84","","0.27%"
"2022-09-04","142.52","140.18","145.00","140.08","","1.65%"
"2022-08-28","140.20","137.65","140.81","137.55","","1.95%"
"2022-08-21","137.52","136.88","137.72","135.81","","0.43%"
"2022-08-14","136.93","133.45","137.24","132.55","","2.58%"
"2022-08-07","133.48","135.01","135.59","131.73","","-1.10%"
"2022-07-31","134.97","133.23","135.51","130.40","","1.34%"
"2022-07-24","133.19","136.07","137.48","132.51","","-2.10%"
"2022-07-17","136.05","138.54","138.89","135.57","","-1.79%"
"2022-07-10","138.53","136.02","139.40","135.99","","1.80%"
"2022-07-03","136.08","135.32","136.58","134.78","","0.66%"
"2022-06-26","135.19","135.12","137.01","134.51","","0.01%"
"2022-06-19","135.17","134.90","136.72","134.26","","0.16%"
"2022-06-12","134.96","134.38","135.60","131.49","","0.40%"
"2022-06-05","134.42","130.85","134.56","130.43","","2.72%"
"2022-05-29","130.86","127.07","130.99","126.86","","2.95%"
"2022-05-22","127.11","127.93","128.09","126.36","","-0.58%"
"2022-05-15","127.85","129.27","129.79","127.03","","-1.04%"
"2022-05-08","129.19","130.51","131.36","127.51","","-1.05%"
"2022-05-01","130.56","129.77","130.82","128.63","","0.56%"
"2022-04-24","129.83","128.60","131.26","126.94","","0.99%"
"2022-04-17","128.56","126.43","129.41","126.25","","1.75%"
"2022-04-10","126.35","124.06","126.69","124.00","","1.63%"
"2022-04-03","124.32","122.64","124.69","122.26","","1.49%"
"2022-03-27","122.49","121.97","125.11","121.28","","0.35%"
"2022-03-20","122.06","119.17","122.44","119.07","","2.43%"
"2022-03-13","119.17","117.34","119.41","117.30","","1.61%"
"2022-03-06","117.28","114.82","117.37","114.79","","2.18%"
"2022-02-27","114.78","114.98","115.82","114.64","","-0.67%"
"2022-02-20","115.56","114.93","115.78","114.40","","0.49%"
"2022-02-13","115.00","115.28","115.89","114.79","","-0.36%"
"2022-02-06","115.41","115.22","116.35","114.91","","0.18%"
"2022-01-30","115.20","115.23","115.61","114.15","","-0.03%"
"2022-01-23","115.24","113.66","115.69","113.47","","1.37%"
"2022-01-16","113.68","114.21","115.07","113.60","","-0.46%"
"2022-01-09","114.20","115.64","115.86","113.48","","-1.17%"
